attempted_field_goals,field_goal_percentage,three_point_percentage,made_free_throws,defensive_rebounds,total_rebounds,turnovers,personal_fouls
97,0.23015873015873015,0.20454545454545456,17,33,45,15,22
87,0.30952380952380953,0.2631578947368421,11,30,36,17,25
80,0.3333333333333333,0.2619047619047619,19,32,44,18,20
87,0.32558139534883723,0.2765957446808511,20,32,38,22,26
76,0.3504273504273504,0.2962962962962963,21,30,35,23,28
100,0.3150684931506849,0.2647058823529412,13,33,42,17,30
94,0.31386861313868614,0.22413793103448276,27,36,45,19,22
101,0.3129251700680272,0.26666666666666666,23,46,54,16,30
94,0.3037037037037037,0.23943661971830985,27,42,47,18,32
93,0.3111111111111111,0.26785714285714285,19,33,46,12,26
82,0.2743362831858407,0.20588235294117646,26,39,55,23,26
87,0.31496062992125984,0.2558139534883721,31,31,41,12,32
86,0.3333333333333333,0.2833333333333333,27,40,49,16,34
95,0.33098591549295775,0.32,12,33,41,12,15
108,0.31645569620253167,0.2631578947368421,14,32,53,9,19
81,0.2702702702702703,0.21212121212121213,14,25,31,17,19
78,0.36065573770491804,0.32727272727272727,7,41,43,21,22
87,0.3409090909090909,0.2903225806451613,22,41,48,16,30
94,0.2824427480916031,0.20634920634920634,32,34,46,11,22
91,0.2777777777777778,0.2222222222222222,21,32,45,14,20
93,0.34507042253521125,0.2619047619047619,11,37,47,13,22
101,0.30344827586206896,0.25,30,42,53,17,22
103,0.32679738562091504,0.2978723404255319,20,41,49,12,29
85,0.33070866141732286,0.29411764705882354,10,34,41,21,23
91,0.3,0.22413793103448276,25,32,46,16,17
92,0.2459016393442623,0.13157894736842105,27,27,39,14,15
78,0.36065573770491804,0.3191489361702128,17,42,50,23,26
88,0.296,0.21153846153846154,20,37,49,21,29
84,0.3,0.25,22,37,45,21,25
94,0.2932330827067669,0.2222222222222222,10,32,45,7,18
81,0.3135593220338983,0.35135135135135137,9,39,48,20,18
94,0.3037037037037037,0.2708333333333333,17,36,52,13,27
90,0.3023255813953488,0.18518518518518517,28,31,40,14,24
83,0.3025210084033613,0.2641509433962264,10,29,38,21,23
83,0.3252032520325203,0.26666666666666666,19,35,44,21,24
100,0.3103448275862069,0.23529411764705882,10,38,48,11,22
92,0.34285714285714286,0.3090909090909091,16,42,50,12,15
104,0.32903225806451614,0.2857142857142857,18,42,61,18,22
103,0.31788079470198677,0.24193548387096775,12,30,41,15,20
85,0.2975206611570248,0.20454545454545456,17,30,38,9,22
91,0.29457364341085274,0.23684210526315788,20,38,63,17,19
71,0.2755102040816326,0.24390243902439024,32,43,49,23,26
80,0.2920353982300885,0.2765957446808511,16,37,40,16,31
98,0.26865671641791045,0.21739130434782608,19,35,54,10,18
91,0.28346456692913385,0.24489795918367346,10,33,48,12,21
100,0.2805755395683453,0.23255813953488372,22,40,49,10,27
85,0.3253968253968254,0.2413793103448276,24,43,50,18,19
89,0.2764227642276423,0.23529411764705882,15,39,47,16,20
85,0.2796610169491525,0.20408163265306123,28,46,52,16,20
84,0.328,0.26,14,32,42,8,14
91,0.3208955223880597,0.2558139534883721,9,36,50,10,24
95,0.24603174603174602,0.17073170731707318,22,33,46,21,27
86,0.31746031746031744,0.21212121212121213,33,44,54,18,19
83,0.2966101694915254,0.22,16,24,33,20,29
73,0.3113207547169811,0.29545454545454547,33,36,49,26,22
82,0.31666666666666665,0.23728813559322035,15,40,45,15,21
92,0.3082706766917293,0.29310344827586204,17,40,45,9,20
96,0.3191489361702128,0.2972972972972973,17,30,41,9,24
93,0.30597014925373134,0.24390243902439024,16,36,54,19,19
90,0.3023255813953488,0.2641509433962264,19,23,32,6,24
78,0.3445378151260504,0.29411764705882354,25,37,47,17,21
96,0.3142857142857143,0.29411764705882354,18,32,45,16,22
82,0.3050847457627119,0.2222222222222222,30,36,43,18,22
86,0.2833333333333333,0.3269230769230769,17,40,49,17,30
