slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
stepavl01,Vladimir Stepania,NEW JERSEY NETS,AWAY,DALLAS MAVERICKS,LOSS,221,0,2,0,0,1,2,1,2,0,0,1,0,0,1.2
blounma01,Mark Blount,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,LOSS,877,1,1,0,0,0,0,1,2,1,0,0,1,4,1.1
jonesda01,Damon Jones,VANCOUVER GRIZZLIES,AWAY,ATLANTA HAWKS,LOSS,383,1,3,1,2,0,0,0,0,0,0,0,0,1,0.9
mccoyje01,Jelani McCoy,SEATTLE SUPERSONICS,HOME,PORTLAND TRAIL BLAZERS,WIN,1116,1,3,0,0,0,0,1,2,0,0,1,1,1,0.9
augmost01,Stacey Augmon,PORTLAND TRAIL BLAZERS,AWAY,SEATTLE SUPERSONICS,LOSS,285,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
austiis01,Isaac Austin,VANCOUVER GRIZZLIES,AWAY,ATLANTA HAWKS,LOSS,455,0,1,0,0,0,0,0,2,1,0,0,0,0,0.6
trentga01,Gary Trent,DALLAS MAVERICKS,HOME,NEW JERSEY NETS,WIN,356,1,4,0,0,0,0,0,1,1,0,0,0,0,0.6
childch01,Chris Childs,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,LOSS,1652,0,4,0,2,0,0,1,4,8,0,2,4,4,0.5
johnsde03,DerMarr Johnson,ATLANTA HAWKS,HOME,VANCOUVER GRIZZLIES,WIN,182,1,2,0,1,0,0,0,1,0,0,0,0,2,0.5
mottoha01,Hanno Möttölä,ATLANTA HAWKS,HOME,VANCOUVER GRIZZLIES,WIN,1246,3,8,0,0,0,0,0,7,0,0,0,2,3,0.5
thomake01,Kenny Thomas,HOUSTON ROCKETS,HOME,INDIANA PACERS,WIN,723,1,2,0,0,0,0,0,1,0,0,0,0,2,0.5
amaecjo01,John Amaechi,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,447,0,2,0,0,2,2,1,0,0,1,0,1,3,0.1
buckngr01,Greg Buckner,DALLAS MAVERICKS,HOME,NEW JERSEY NETS,WIN,1205,1,5,0,0,0,0,2,2,0,1,0,1,2,0.1
colesbi01,Bimbo Coles,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,1213,0,2,0,0,2,2,0,1,2,0,0,1,3,0.1
willisc01,Scott Williams,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,975,0,1,0,0,0,0,2,2,0,0,0,0,3,0.1
ketnela01,Lari Ketner,INDIANA PACERS,AWAY,HOUSTON ROCKETS,LOSS,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
langhda01,Dan Langhi,HOUSTON ROCKETS,HOME,INDIANA PACERS,WIN,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
luety01,Tyronn Lue,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,WIN,638,0,1,0,1,0,0,1,2,1,1,0,2,1,-0.1
murrala01,Lamond Murray,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,1185,2,8,0,2,0,0,0,3,0,0,1,1,0,-0.2
knightr01,Travis Knight,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,141,0,2,0,0,0,0,1,0,0,0,1,0,1,-0.4
perkisa01,Sam Perkins,INDIANA PACERS,AWAY,HOUSTON ROCKETS,LOSS,755,0,2,0,2,0,0,0,0,0,1,0,0,0,-0.4
fundela01,Lawrence Funderburke,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,323,0,2,0,0,0,0,0,3,0,0,0,0,0,-0.5
crawfch01,Chris Crawford,ATLANTA HAWKS,HOME,VANCOUVER GRIZZLIES,WIN,191,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
edwarke01,Kevin Edwards,VANCOUVER GRIZZLIES,AWAY,ATLANTA HAWKS,LOSS,365,1,3,0,0,0,0,0,0,0,0,0,1,0,-0.7
hendece02,Cedric Henderson,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,141,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
hudsotr01,Troy Hudson,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,12,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
barryjo01,Jon Barry,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,680,0,2,0,1,2,2,0,1,1,0,0,2,1,-0.8
rogerca01,Carlos Rogers,HOUSTON ROCKETS,HOME,INDIANA PACERS,WIN,1207,0,1,0,0,0,0,0,2,0,1,0,1,2,-0.9
willimo01,Monty Williams,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,592,1,6,0,1,0,0,0,1,2,0,0,0,2,-0.9
curryde01,Dell Curry,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,LOSS,628,0,6,0,1,2,2,0,2,0,2,0,1,1,-1.0
hamda01,Darvin Ham,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,1031,0,2,0,0,0,0,2,2,1,0,1,1,5,-1.0
glovedi01,Dion Glover,ATLANTA HAWKS,HOME,VANCOUVER GRIZZLIES,WIN,732,0,1,0,0,0,0,0,0,1,0,0,0,3,-1.2
brownra02,Randy Brown,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,LOSS,1404,1,1,0,0,1,1,0,1,1,0,0,3,5,-1.3
langdtr01,Trajan Langdon,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,266,0,1,0,1,0,0,0,0,0,0,0,0,2,-1.5
mccarwa01,Walter McCarty,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,LOSS,752,0,1,0,0,0,0,0,1,0,0,0,0,3,-1.6
douglsh01,Sherman Douglas,NEW JERSEY NETS,AWAY,DALLAS MAVERICKS,LOSS,1203,0,3,0,2,2,4,0,2,2,0,0,2,2,-1.7
bendejo01,Jonathan Bender,INDIANA PACERS,AWAY,HOUSTON ROCKETS,LOSS,297,0,1,0,0,0,0,0,0,0,0,0,1,2,-2.5
doleami01,Michael Doleac,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,548,0,5,0,0,0,0,0,1,2,0,0,0,2,-2.6
croshau01,Austin Croshere,INDIANA PACERS,AWAY,HOUSTON ROCKETS,LOSS,1258,1,5,0,3,0,0,0,3,1,0,0,2,3,-2.7
